item_id,item_type,item_name,det_target,det_competitor,option1,option2,option3,option4,mentioned_element,mentioned_file,unmentioned_element,unmentioned_file,picture1,picture2,picture3,picture4,question,question_file,answer_file,target_position,list,complete_answer,incomplete_answer,chunked_answer,expected_response,target,competitor,condition,DP,picture_target,picture_competitor
1,critical,wolf-dog,der,der,Wolf,Hund,holdfast,americangoldfinch,wolf,greywolf.jpg,dog,greyhound.jpg,images/greywolf.jpg,images/greyhound.jpg,images/holdfast.jpg,images/americangoldfinch.jpg,Ist das ein Bild von einem Wolf?,q_r_wolf.wav,r_t_wolf.wav,1,1,Das ist tatsächlich ein Bild von einem Wolf.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Wolf.,Wolf,Wolf,Hund,reliable,indeed,greywolf.jpg,greyhound.jpg
12,critical,shark-dolphin,der,der,Delphin,squid,cardinal,Hai,shark,sandbarshark.jpg,dolphin,dolphin01.jpg,images/dolphin01.jpg,images/squid.jpg,images/cardinal.jpg,images/sandbarshark.jpg,Ist das ein Bild von einem Hai?,q_r_hai.wav,r_t_hai.wav,4,2,Das ist tatsächlich ein Bild von einem Hai.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Hai.,Hai,Hai,Delphin,reliable,indeed,sandbarshark.jpg,dolphin01.jpg
13,critical,eagle-vulture,der,der,Geier,Adler,lynx01,bull,eagle,eagle.jpg,vulture,vulture.jpg,images/vulture.jpg,images/eagle.jpg,images/lynx01.jpg,images/bull.jpg,Ist das ein Bild von einem Adler?,q_r_adler.wav,r_t_adler.wav,1,2,Das ist tatsächlich ein Bild von einem Adler.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Adler.,Adler,Adler,Geier,reliable,indeed,eagle.jpg,vulture.jpg
14,critical,monkey-gorilla,der,der,hammerheadshark,Gorilla,Affen,riverotter,monkey,macaque.jpg,gorilla,gorilla.jpg,images/hammerheadshark.jpg,images/gorilla.jpg,images/macaque.jpg,images/riverotter.jpg,Ist das ein Bild von einem Affen?,q_r_affe.wav,r_t_affe.wav,2,2,Das ist tatsächlich ein Bild von einem Affen.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Affen.,Affen,Affen,Gorilla,reliable,indeed,macaque.jpg,gorilla.jpg
15,critical,parrot-toucan,der,der,chipmunk,greatwhiteshark,Tukan,Papagei,parrot,parrot01.jpg,toucan,toucan.jpg,images/chipmunk.jpg,images/greatwhiteshark.jpg,images/toucan.jpg,images/parrot01.jpg,Ist das ein Bild von einem Papagei?,q_r_papagei.wav,r_t_papagei.wav,3,2,Das ist tatsächlich ein Bild von einem Papagei.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Papagei.,Papagei,Papagei,Tukan,reliable,indeed,parrot01.jpg,toucan.jpg
16,critical,duck-seagull,die,die,Ente,jellyfish,cobra,Seemöwe,duck,duck01.jpg,seagull,seagull.jpg,images/duck01.jpg,images/jellyfish.jpg,images/cobra.jpg,images/seagull.jpg,Ist das ein Bild von einer Ente?,q_r_ente.wav,r_t_ente.wav,4,2,Das ist tatsächlich ein Bild von einer Ente.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Ente.,Ente,Ente,Seemöwe,reliable,indeed,duck01.jpg,seagull.jpg
17,critical,sheep-ram,das,der,Schaaf,Bock,chimpanzee,armadillo,sheep,sheep.jpg,ram,ram.jpg,images/sheep.jpg,images/ram.jpg,images/chimpanzee.jpg,images/armadillo.jpg,Ist das ein Bild von einem Schaf?,q_r_schaf.wav,r_t_schaf.wav,1,2,Das ist tatsächlich ein Bild von einem Schaf.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Schaf.,Schaf,Schaaf,Bock,reliable,indeed,sheep.jpg,ram.jpg
18,critical,squirrel-skunk,das,das,bison,Eichhörnchen,Stinktier,jaguar,squirrel,squirrel.jpg,skunk,skunk.jpg,images/bison.jpg,images/squirrel.jpg,images/skunk.jpg,images/jaguar.jpg,Ist das ein Bild von einem Eichhörnchen?,q_r_eichhoernchen.wav,r_t_eichhoernchen.wav,2,2,Das ist tatsächlich ein Bild von einem Eichhörnchen.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Eichhörnchen.,Eichhörnchen,Eichhörnchen,Stinktier,reliable,indeed,squirrel.jpg,skunk.jpg
19,critical,Shrimp-lobster,die,die,canadiangoose,toad,Garnele,Languste,shrimp,shrimp.jpg,lobster,rocklobster.jpg,images/canadiangoose.jpg,images/toad.jpg,images/shrimp.jpg,images/rocklobster.jpg,Ist das ein Bild von einer Garnele ?,q_r_garnelle.wav,r_t_garnele.wav,3,2,Das ist tatsächlich ein Bild von einer Garnele.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Garnele.,Garnele,Garnele,Languste,reliable,indeed,shrimp.jpg,rocklobster.jpg
20,critical,gecko-chameleon,der,das,Chamäleon,Gecko,sapsucker,fennec,gecko,gecko.jpg,chameleon,chameleon.jpg,images/chameleon.jpg,images/gecko.jpg,images/sapsucker.jpg,images/fennec.jpg,Ist das ein Bild von einem Gecko?,q_r_gecko.wav,r_t_gecko.wav,4,2,Das ist tatsächlich ein Bild von einem Gecko.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Gecko.,Gecko,Gecko,Chamäleon,reliable,indeed,gecko.jpg,chameleon.jpg
21,critical,double-bass-banjo,der,das,treadmill,ceilingfan01,Kontrabass,Banjo,double-bass,doublebass.jpg,banjo,banjo.jpg,images/treadmill.jpg,images/ceilingfan01.jpg,images/doublebass.jpg,images/banjo.jpg,Ist das ein Bild von einem Kontrabass?,q_r_kontrabass.wav,r_t_kontrabass.wav,1,3,Das ist tatsächlich ein Bild von einem Kontrabass.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Kontrabass.,Kontrabass,Kontrabass,Banjo,reliable,indeed,doublebass.jpg,banjo.jpg
22,critical,snowman-garden-gnome,der,der,Gartenzwerg,turnstile,guitarcase,Schneemann,snowman,snowman.jpg,garden-gnome,gardengnome02.jpg,images/gardengnome02.jpg,images/turnstile.jpg,images/guitarcase.jpg,images/snowman.jpg,Ist das ein Bild von einem Schneemann?,q_r_schneemann.wav,r_t_schneemann.wav,2,3,Das ist tatsächlich ein Bild von einem Schneemann.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Schneemann.,Schneemann,Schneemann,Gartenzwerg,reliable,indeed,snowman.jpg,gardengnome02.jpg
23,critical,paper-plane-kite,das,der,Drache,Papierflieger,centurionhelmet,magneticcompass,paper-plane,paperairplane.jpg,kite,kite.jpg,images/kite.jpg,images/paperairplane.jpg,images/centurionhelmet.jpg,images/magneticcompass.jpg,Ist das ein Bild von einem Papierflieger?,q_r_papierflieger.wav,r_t_papierflieger.wav,3,3,Das ist tatsächlich ein Bild von einem Papierflieger.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Papierflieger.,Papierflieger,Papierflieger,Drachen,reliable,indeed,paperairplane.jpg,kite.jpg
24,critical,bicycle-motorbike,das,das,bookshelf,Motorrad,Fahrrad,totempole,bicycle,bicycle.jpg,motorbike,motorcycle.jpg,images/bookshelf.jpg,images/motorcycle.jpg,images/bicycle.jpg,images/totempole.jpg,Ist das ein Bild von einem Fahrrad?,q_r_fahrrad.wav,r_t_fahrrad.wav,4,3,Das ist tatsächlich ein Bild von einem Fahrrad.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Fahrrad.,Fahrrad,Fahrrad,Motorrad,reliable,indeed,bicycle.jpg,motorcycle.jpg
25,critical,bus-truck,der,der,birdnest,poolnet,Lastwagen,Bus,bus,bus.jpg,truck,boxtruck.jpg,images/birdnest.jpg,images/poolnet.jpg,images/boxtruck.jpg,images/bus.jpg,Ist das ein Bild von einem Bus?,q_r_bus.wav,r_t_bus.wav,1,3,Das ist tatsächlich ein Bild von einem Bus.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Bus.,Bus,Bus,Lastwagen,reliable,indeed,bus.jpg,boxtruck.jpg
26,critical,basketball-volleyball,der,der,Basketball,skipole,bowlingpin,Volleyball,basketball,basketball01.jpg,volleyball,volleyball.jpg,images/basketball01.jpg,images/skipole.jpg,images/bowlingpin.jpg,images/volleyball.jpg,Ist das ein Bild von einem Basketball?,q_r_basketball.wav,r_t_basketball.wav,2,3,Das ist tatsächlich ein Bild von einem Basketball.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Basketball.,Basketball,Basketball,Volleyball,reliable,indeed,basketball01.jpg,volleyball.jpg
27,critical,soccerball-golf-ball,der,der,Fußball,Golfball,safe,stepladder,soccer-ball,soccerball.jpg,golf-ball,golfball.jpg,images/soccerball.jpg,images/golfball.jpg,images/safe.jpg,images/stepladder.jpg,Ist das ein Bild von einem Fußball?,q_r_fussball.wav,r_t_fussball.wav,3,3,Das ist tatsächlich ein Bild von einem Fußball.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Fußball.,Fußball,Fußball,Golfball,reliable,indeed,soccerball.jpg,golfball.jpg
28,critical,donut-cupcake,der,der,plantpot,Donut,Muffin,well,donut,donut.jpg,cupcake,cupcake.jpg,images/plantpot.jpg,images/donut.jpg,images/cupcake.jpg,images/well.jpg,Ist das ein Bild von einem Donut?,q_r_donut.wav,r_t_donut.wav,4,3,Das ist tatsächlich ein Bild von einem Donut.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Donut.,Donut,Donut,Muffin,reliable,indeed,donut.jpg,cupcake.jpg
29,critical,wine-beer,der,das,basketballhoop01,badmintonracket,Flasche Wein,Flasche Bier,wine,bottleofwhitewine.jpg,beer,beerbottle.jpg,images/basketballhoop01.jpg,images/badmintonracket.jpg,images/bottleofwhitewine.jpg,images/beerbottle.jpg,Ist das ein Bild von einer Flasche Wein?,q_r_flaschewein.wav,r_t_flaschewein.wav,1,3,Das ist tatsächlich ein Bild von einer Flasche Wein.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Flasche Wein.,Flasche Wein,Flasche Wein,Flasche Bier,reliable,indeed,bottleofwhitewine.jpg,beerbottle.jpg
30,critical,bed-couch,das,das,Sofa,chair,toyfiretruck,Bett,bed,bed.jpg,couch,couch02.jpg,images/couch02.jpg,images/chair.jpg,images/toyfiretruck.jpg,images/bed.jpg,Ist das ein Bild von einem Bett?,q_r_bett.wav,r_t_bett.wav,2,3,Das ist tatsächlich ein Bild von einem Bett.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Bett.,Bett,Bett,Sofa,reliable,indeed,bed.jpg,couch02.jpg
31,critical,pot-mug,der,der,Becher,Topf,missile,gastank,pot,cookingpot.jpg,mug,mug05.jpg,images/mug05.jpg,images/cookingpot.jpg,images/missile.jpg,images/gastank.jpg,Ist das ein Bild von einem Topf?,q_r_topf.wav,r_t_topf.wav,3,4,Das ist tatsächlich ein Bild von einem Topf.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Topf.,Topf,Topf,Becher,reliable,indeed,cookingpot.jpg,mug05.jpg
32,critical,airplane-helicopter,das,der,spicerack,Hubschrauber,Flugzeug,jarofapplesauce,airplane,cessna.jpg,helicopter,helicopter.jpg,images/spicerack.jpg,images/helicopter.jpg,images/cessna.jpg,images/jarofapplesauce.jpg,Ist das ein Bild von einem Flugzeug?,q_r_flugzeug.wav,r_t_flugzeug.wav,4,4,Das ist tatsächlich ein Bild von einem Flugzeug.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Flugzeug.,Flugzeug,Flugzeug,Hubschrauber,reliable,indeed,cessna.jpg,helicopter.jpg
33,critical,mailbox-gargabe-can,der,der,dolly01,tambourine03,Mülleimer,Briefkasten,mailbox,postalmailbox01.jpg,gargabe-can,garbagebin.jpg,images/dolly01.jpg,images/tambourine03.jpg,images/garbagebin.jpg,images/postalmailbox01.jpg,Ist das ein Bild von einem Briefkasten?,q_r_briefkasten.wav,r_t_briefkasten.wav,1,4,Das ist tatsächlich ein Bild von einem Briefkasten.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Briefkasten.,Briefkasten,Briefkasten,Mülleimer,reliable,indeed,postalmailbox01.jpg,garbagebin.jpg
34,critical,boot-rollerblade,der,der,Gummistiefel,triangle,filingcabinet,Inlineskate,boot,rainboot.jpg,rollerblade,rollerblade.jpg,images/rainboot.jpg,images/triangle.jpg,images/filingcabinet.jpg,images/rollerblade.jpg,Ist das ein Bild von einem Gummistiefel?,q_r_gummistiefel.wav,r_t_gummistiefel.wav,2,4,Das ist tatsächlich ein Bild von einem Gummistiefel.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Gummistiefel.,Gummistiefel,Gummistiefel,Inlineskate,reliable,indeed,rainboot.jpg,rollerblade.jpg
35,critical,knife-sword,das,das,Messer,Schwert,candelabra,bikewheel,knife,knife03.jpg,sword,sword01.jpg,images/knife03.jpg,images/sword01.jpg,images/candelabra.jpg,images/bikewheel.jpg,Ist das ein Bild von einem Messer?,q_r_messer.wav,r_t_messer.wav,3,4,Das ist tatsächlich ein Bild von einem Messer.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Messer.,Messer,Messer,Schwert,reliable,indeed,knife03.jpg,sword01.jpg
36,critical,hat-hard-hat,der,der,radiator,Hut,Schutzhelm,arrow02,hat,witchhat.jpg,hard-hat,hardhat02.jpg,images/radiator.jpg,images/witchhat.jpg,images/hardhat02.jpg,images/arrow02.jpg,Ist das ein Bild von einem Hut?,q_r_hut.wav,r_t_hut.wav,4,4,Das ist tatsächlich ein Bild von einem Hut.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Hut.,Hut,Hut,Schutzhelm,reliable,indeed,witchhat.jpg,hardhat02.jpg
37,critical,corn-cork,der,der,weedwacker,parachute,Maiskolben,Korken,corn,corn02.jpg,cork,cork02.jpg,images/weedwacker.jpg,images/parachute.jpg,images/corn02.jpg,images/cork02.jpg,Ist das ein Bild von einem Maiskolben?,q_r_maiskolben.wav,r_t_maiskolben.wav,1,4,Das ist tatsächlich ein Bild von einem Maiskolben.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Maiskolben.,Maiskolben,Maiskolben,Korken,reliable,indeed,corn02.jpg,cork02.jpg
38,critical,pants-shorts,die,die,Badehose,bikepump01,jellybean,Jeans,pants,jeans01.jpg,shorts,swimsuit.jpg,images/swimsuit.jpg,images/bikepump01.jpg,images/jellybean.jpg,images/jeans01.jpg,Ist das ein Bild von einer Jeans?,q_r_jeans.wav,r_t_jeans.wav,2,4,Das ist tatsächlich ein Bild von einer Jeans.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Jeans.,Jeans,Jeans,Badehose,reliable,indeed,jeans01.jpg,swimsuit.jpg
39,critical,shovel-pickaxe,die,die,Spitzhacke,Schaufel,tabascosauce,masquerademask01,shovel,shovel01.jpg,pickaxe,pickaxe02.jpg,images/pickaxe02.jpg,images/shovel01.jpg,images/tabascosauce.jpg,images/masquerademask01.jpg,Ist das ein Bild von einer Schaufel?,q_r_schaufel.wav,r_t_schaufel.wav,3,4,Das ist tatsächlich ein Bild von einer Schaufel.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Schaufel.,Schaufel,Schaufel,Spitzhacke,reliable,indeed,shovel01.jpg,pickaxe02.jpg
40,critical,tractor-tank,der,der,patioumbrella,Panzer,Traktor,foosballtable,tractor,tractor.jpg,tank,tank.jpg,images/patioumbrella.jpg,images/tank.jpg,images/tractor.jpg,images/foosballtable.jpg,Ist das ein Bild von einem Traktor?,q_r_traktor.wav,r_t_traktor.wav,4,4,Das ist tatsächlich ein Bild von einem Traktor.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Traktor.,Traktor,Traktor,Panzer,reliable,indeed,tractor.jpg,tank.jpg
41,critical,tower-wind-turbine,der,das,martiniglass01b,gasburner,Windrad,Turm,tower,tower.jpg,wind-turbine,windturbine.jpg,images/martiniglass01b.jpg,images/gasburner.jpg,images/windturbine.jpg,images/tower.jpg,Ist das ein Bild von einem Turm?,q_r_turm.wav,r_t_turm.wav,1,5,Das ist tatsächlich ein Bild von einem Turm.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Turm.,Turm,Turm,Windrad,reliable,indeed,tower.jpg,windturbine.jpg
42,critical,chair-stool,der,der,Klappstuhl,accordion01,skihelmet01,Hocker,chair,foldingchair.jpg,stool,stool01.jpg,images/foldingchair.jpg,images/accordion01.jpg,images/skihelmet01.jpg,images/stool01.jpg,Ist das ein Bild von einem Klappstuhl?,q_r_klappstuhl.wav,r_t_klappstuhl.wav,2,5,Das ist tatsächlich ein Bild von einem Klappstuhl.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Klappstuhl.,Klappstuhl,Klappstuhl,Hocker,reliable,indeed,foldingchair.jpg,stool01.jpg
43,critical,toilet-sink,das,das,Klo,Waschbecken,pouch01b,gardenutilityvehicle,toilet,toilet.jpg,sink,sink.jpg,images/toilet.jpg,images/sink.jpg,images/pouch01b.jpg,images/gardenutilityvehicle.jpg,Ist das ein Bild von einem Klo?,q_r_klo.wav,r_t_klo.wav,3,5,Das ist tatsächlich ein Bild von einem Klo.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Klo.,Klo,Klo,Waschbecken,reliable,indeed,toilet.jpg,sink.jpg
44,critical,oven-fridge,der,der,huntingknife,Ofen,Kühlschrank,grandpiano,oven,oven.jpg,fridge,fridge.jpg,images/huntingknife.jpg,images/oven.jpg,images/fridge.jpg,images/grandpiano.jpg,Ist das ein Bild von einem Ofen?,q_r_ofen.wav,r_t_ofen.wav,4,5,Das ist tatsächlich ein Bild von einem Ofen.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Ofen.,Ofen,Ofen,Kühlschrank,reliable,indeed,oven.jpg,fridge.jpg
45,critical,bolt-bullet,die,die,waterlily,lantern03,Schraube,Gewehrkugel,bolt,bolt01a.jpg,bullet,bullet.jpg,images/waterlily.jpg,images/lantern03.jpg,images/bolt01a.jpg,images/bullet.jpg,Ist das ein Bild von einer Schraube?,q_r_schraube.wav,r_t_schraube.wav,1,5,Das ist tatsächlich ein Bild von einer Schraube.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Schraube.,Schraube,Schraube,Gewehrkugel,reliable,indeed,bolt01a.jpg,bullet.jpg
46,critical,blender-coffee-maker,der,der,Kaffeekocher,kiddiepool,barrel01,Mixer,blender,blender.jpg,coffee-maker,coffeemaker.jpg,images/coffeemaker.jpg,images/kiddiepool.jpg,images/barrel01.jpg,images/blender.jpg,Ist das ein Bild von einem Mixer?,q_r_mixer.wav,r_t_mixer.wav,2,5,Das ist tatsächlich ein Bild von einem Mixer.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Mixer.,Mixer,Mixer,Kaffeekocher,reliable,indeed,blender.jpg,coffeemaker.jpg
47,critical,pinboard-calendar,die,die,Kalender,Pinnwand,cannon,electrictoothbrush01c,pinboard,corkboard.jpg,calendar,calendar.jpg,images/calendar.jpg,images/corkboard.jpg,images/cannon.jpg,images/electrictoothbrush01c.jpg,Ist das ein Bild von einer Pinnwand?,q_r_pinnwand.wav,r_t_pinnwand.wav,3,5,Das ist tatsächlich ein Bild von einer Pinnwand.,Das ist tatsächlich ein Bild von einer ...,Das ist | tatsächlich ein Bild von | einer Pinnwand.,Pinnwand,Pinnwand,Kalender,reliable,indeed,corkboard.jpg,calendar.jpg
48,critical,tennis-racket-snowshoe,der,der,television,Schneeschuh,Tennisschläger,jokercard,tennis-racket,tennisracket.jpg,snowshoe,snowshoe.jpg,images/television.jpg,images/snowshoe.jpg,images/tennisracket.jpg,images/jokercard.jpg,Ist das ein Bild von einem Tennisschläger?,q_r_tennisschlaeger.wav,r_t_tennisschlaeger.wav,4,5,Das ist tatsächlich ein Bild von einem Tennisschläger.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Tennisschläger.,Tennisschläger,Tennisschläger,Schneeschuh,reliable,indeed,tennisracket.jpg,snowshoe.jpg
49,critical,wheel-steering-wheel,das,das,watercolorpaintset,scanner,Lenkrad,Rad,wheel,wheel04.jpg,steering-wheel,steeringwheel.jpg,images/watercolorpaintset.jpg,images/scanner.jpg,images/steeringwheel.jpg,images/wheel04.jpg,Ist das ein Bild von einem Rad?,q_r_rad.wav,r_t_rad.wav,1,5,Das ist tatsächlich ein Bild von einem Rad.,Das ist tatsächlich ein Bild von einem ...,Das ist | tatsächlich ein Bild von | einem Rad.,Rad,Rad,Lenkrad,reliable,indeed,wheel04.jpg,steeringwheel.jpg
